-42.77, -42.872, 60.101
-44.305, -41.596, 55.722
-45.559, -40.045, 50.975
-46.3, -38.2, 45.753
-46.397, -36.213, 62.193
-45.955, -34.267, 74.737
-45.188, -32.421, 81.894
-44.241, -30.661, 78.733
-43.198, -28.954, 75.438
-42.107, -27.278, 71.992
-40.998, -25.613, 68.373
-39.897, -23.944, 64.551
-38.82, -22.259, 60.489
-37.782, -20.549, 56.133
-36.804, -18.805, 51.41
-35.891, -17.026, 46.206
-35.073, -15.201, 40.337
-34.348, -13.337, 33.454
-33.747, -11.43, 24.724
-33.183, -9.091, 0
-33.183, -9.091, 0
-28.496, 10.352, 0
endData
127
100
200
0, 0, 0, 7.874, -29.76, -4.484, -29.76, 3.39
-29.76, 3.39, -29.76, 11.264, -32.679, 9.328, -35.598, 15.267
-35.598, 15.267, -38.517, 21.205, -38.416, 26.439, -41.235, 37.611
-41.235, 37.611, -44.053, 48.784, -41.335, 47.676, -41.436, 57.741
-41.436, 57.741, -41.537, 67.807, -22.514, 61.466, -3.591, 65.19
-3.591, 65.19, 15.331, 68.914, 15.734, 63.076, 35.059, 60.962
35.059, 60.962, 54.384, 58.849, 39.89, 51.602, 44.721, 42.241
44.721, 42.241, 49.552, 32.881, 43.614, 28.251, 42.507, 14.26
42.507, 14.26, 41.4, 0.27, 41.299, -1.039, 40.091, -16.338
40.091, -16.338, 38.883, -31.637, 40.192, -34.857, 40.293, -53.377
40.293, -53.377, 40.393, -71.897, 31.536, -57.705, 22.779, -62.033
22.779, -62.033, 14.023, -66.361, 7.782, -61.631, -7.215, -61.228
-7.215, -61.228, -22.212, -60.825, -23.621, -52.874, -40.027, -44.52
-40.027, -44.52, -56.433, -36.166, -36.605, -26.805, -33.183, -9.091
#PATH.JERRYIO-DATA {"appVersion":"0.10.0","format":"LemLib v0.5","gc":{"robotWidth":12,"robotHeight":12,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":2,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"V5RC 2026 - Push Back","signature":"V5RC-PushBack-H2H-TopDownHighlighted-TileColor66_71","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"hSkPNJeGEL","x":0,"y":0,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"0Xo8am7rvb","x":0,"y":7.874015748031496,"lock":false,"visible":true,"__type":"control"},{"uid":"hb9RH3TZ6l","x":-29.760480139516982,"y":-4.484090926944734,"lock":false,"visible":true,"__type":"control"},{"uid":"iC7RW7GRVm","x":-29.760480139516982,"y":3.3899248210867614,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"IIZwK02JXC"},{"controls":[{"uid":"iC7RW7GRVm","x":-29.760480139516982,"y":3.3899248210867614,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"lrS4I3kEhg","x":-29.760480139516982,"y":11.263940569118258,"lock":false,"visible":true,"__type":"control"},{"uid":"AMlVbajjK7","x":-32.67935839995391,"y":9.328332316458452,"lock":false,"visible":true,"__type":"control"},{"uid":"Iu37rBu6bi","x":-35.598236660390846,"y":15.266739811830144,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"1zQzm0pDBz"},{"controls":[{"uid":"Iu37rBu6bi","x":-35.598236660390846,"y":15.266739811830144,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"qbP8o4EGTq","x":-38.51711492082778,"y":21.205147307201834,"lock":false,"visible":true,"__type":"control"},{"uid":"yRdurItJ4j","x":-38.416463946329955,"y":26.438997981088747,"lock":false,"visible":true,"__type":"control"},{"uid":"J7aVcWmX9c","x":-41.234691232269064,"y":37.61125615034735,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"WIncrZIbzG"},{"controls":[{"uid":"J7aVcWmX9c","x":-41.234691232269064,"y":37.61125615034735,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"A9JXWHnDm8","x":-44.05291851820817,"y":48.783514319605956,"lock":false,"visible":true,"__type":"control"},{"uid":"KUAxWoxhI9","x":-41.33534220676689,"y":47.67635360012988,"lock":false,"visible":true,"__type":"control"},{"uid":"jydAJM4gBJ","x":-41.43599318126471,"y":57.741451049912406,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"6fk0Y7twWD"},{"controls":[{"uid":"jydAJM4gBJ","x":-41.43599318126471,"y":57.741451049912406,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"WyJUDBtcu7","x":-41.53664415576254,"y":67.80654849969494,"lock":false,"visible":true,"__type":"control"},{"uid":"rtvHjO7l3V","x":-22.513609975673564,"y":61.46553710633194,"lock":false,"visible":true,"__type":"control"},{"uid":"b9NCF2UoxY","x":-3.591226770082412,"y":65.18962316275147,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"dPnwp0IVmm"},{"controls":[{"uid":"b9NCF2UoxY","x":-3.591226770082412,"y":65.18962316275147,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"fbq8zQqs3j","x":15.33115643550874,"y":68.91370921917101,"lock":false,"visible":true,"__type":"control"},{"uid":"WQCMS0lhd5","x":15.733760333500042,"y":63.075952698297144,"lock":false,"visible":true,"__type":"control"},{"uid":"jdcMgmMAeT","x":35.058747437082495,"y":60.962282233842814,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"r9YosMVLUV"},{"controls":[{"uid":"jdcMgmMAeT","x":35.058747437082495,"y":60.962282233842814,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"acFNdSJl2Y","x":54.383734540664946,"y":58.848611769388484,"lock":false,"visible":true,"__type":"control"},{"uid":"h83x6icskm","x":39.88999421297811,"y":51.601741605545065,"lock":false,"visible":true,"__type":"control"},{"uid":"hNHi1ilu9c","x":44.72124098887372,"y":42.24120097724732,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"SXUoluiM9W"},{"controls":[{"uid":"hNHi1ilu9c","x":44.72124098887372,"y":42.24120097724732,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"OibkYrLfdF","x":49.552487764769324,"y":32.88066034894957,"lock":false,"visible":true,"__type":"control"},{"uid":"LuGzay9vv9","x":43.61408026939764,"y":28.250715522049603,"lock":false,"visible":true,"__type":"control"},{"uid":"f9WGS4KJqM","x":42.50691954992156,"y":14.260230066851891,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"yTaxw4V1y6"},{"controls":[{"uid":"f9WGS4KJqM","x":42.50691954992156,"y":14.260230066851891,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"RbMi6GgpxM","x":41.399758830445485,"y":0.26974461165417907,"lock":false,"visible":true,"__type":"control"},{"uid":"zDBZvmAJDX","x":41.29910785594766,"y":-1.03871805681755,"lock":false,"visible":true,"__type":"control"},{"uid":"bMcCbMTg0t","x":40.09129616197376,"y":-16.33766618048699,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"2j1xQTuWMK"},{"controls":[{"uid":"bMcCbMTg0t","x":40.09129616197376,"y":-16.33766618048699,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"N9ERuTASNp","x":38.88348446799986,"y":-31.63661430415643,"lock":false,"visible":true,"__type":"control"},{"uid":"5FvtktDabp","x":40.19194713647158,"y":-34.85744548808684,"lock":false,"visible":true,"__type":"control"},{"uid":"ZIJ3zxfURB","x":40.29259811096941,"y":-53.37722479568669,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"eaBDFZlChs"},{"controls":[{"uid":"ZIJ3zxfURB","x":40.29259811096941,"y":-53.37722479568669,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"KJNCz9Yr2z","x":40.39324908546723,"y":-71.89700410328655,"lock":false,"visible":true,"__type":"control"},{"uid":"hLWBIjgLIU","x":31.535963329658607,"y":-57.70521669909318,"lock":false,"visible":true,"__type":"control"},{"uid":"rW78pcotfN","x":22.77932854834781,"y":-62.03320860249966,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"V124e2TzLt"},{"controls":[{"uid":"rW78pcotfN","x":22.77932854834781,"y":-62.03320860249966,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"7dQYt7YKGA","x":14.022693767037012,"y":-66.36120050590614,"lock":false,"visible":true,"__type":"control"},{"uid":"ELYBbRm2gG","x":7.782333348171844,"y":-61.63060470450836,"lock":false,"visible":true,"__type":"control"},{"uid":"9nhfeRfv2v","x":-7.214661852004122,"y":-61.22800080651706,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"GL4nioXoq6"},{"controls":[{"uid":"9nhfeRfv2v","x":-7.214661852004122,"y":-61.22800080651706,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"VfpzKA9XSh","x":-22.211657052180087,"y":-60.82539690852576,"lock":false,"visible":true,"__type":"control"},{"uid":"4AwVQ4gisL","x":-23.62077069514964,"y":-52.87396992319756,"lock":false,"visible":true,"__type":"control"},{"uid":"xWqndBWkcf","x":-40.02687953829516,"y":-44.51993903987807,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"a8TpGjStlQ"},{"controls":[{"uid":"xWqndBWkcf","x":-40.02687953829516,"y":-44.51993903987807,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"HCLbtvCoTt","x":-56.43298838144068,"y":-36.16590815655857,"lock":false,"visible":true,"__type":"control"},{"uid":"wPT8fcRJWz","x":-36.6047464053691,"y":-26.80536752826082,"lock":false,"visible":true,"__type":"control"},{"uid":"q5u011AWin","x":-33.18261327244304,"y":-9.090796016643573,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"ocUryR4wtN"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"YT3fas2XDF","lock":false,"visible":true}]}
